Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Skill/S_SwapChar_MoveBuff_Description,Text,,&b 위치에서 &a 위치로 버프를 이동합니다.,Move the buff from &b to &a position.,バフを&bから&aの位置に移動します。,将增益从&b移动至&a。,將增益從&b移動至&a。
Skill/S_SwapChar_MoveBuff_Name,Text,,이동!,Move!,移動！,移动！,移動！
Skill/S_SwapChar_Active_Description,Text,,&a와 &b의 위치를 <color=#0096FF>위치 교환</color>합니다.,<color=#0096FF>Swap</color> positions of &a and &b.,&aと&bの位置を<color=#0096FF>位置交換</color>します。,将&a和&b<color=#0096FF>换位</color>。,將&a和&b<color=#0096FF>換位</color>。
Skill/S_SwapChar_Active_Name,Text,,교환!,Swap!,位置交換！,换位！,換位！
Skill/S_SwapChar_10_Description,Text,,"대상과 사용자의 디버프를 랜덤으로 1개 제거하고, 대상과 <color=#0096FF>위치 교환</color>합니다.
최대 HP의 &a%에 해당하는 배리어를 생성합니다.","Randomly remove a debuff from both target and user, then <color=#0096FF>swap</color> with the target.
Generate barrier number equal to &a% max HP.","ターゲットと使用者のデバフをランダムに1つ解除し、ターゲットと<color=#0096FF>位置交換</color>します。
最大体力の&a%に等しいバリアを生成します。","目标和使用者随机移除一个的减益，然后<color=#0096FF>换位</color>。
生成保护罩数量为&a%最大體力值。","目標和使用者隨機移除一個的減益，然後<color=#0096FF>換位</color>。
生成保護罩數量為&a%最大體力值。"
Skill/S_SwapChar_10_Name,Text,,방어 진형,Defensive Formation,防御陣形,防守阵型,防守陣型
Skill/S_SwapChar_11_Description,Text,,,,,,
Skill/S_SwapChar_11_Name,Text,,위험 감지,Danger Perception,危険感知,危险预知,危險預知
Skill/S_SwapChar_1_Description,Text,,"팔랑크스의 눈(액티브 아이템)의 충전을 1회 획득합니다.
<color=#0096FF>정면 돌격</color>: '파악됨!' 스택을 1개 추가합니다.","Gain one charge of Eye of Phalanx (active item).
<color=#0096FF>Frontal Assault:</color> Apply one more stack of ""Identified!"".","ファランクスの目（アクティブ）のチャージを1つ獲得します。
<color=#0096FF>正面突撃</color>：「洞察」のスタックを1つ追加します。","列阵之眼（主动道具）获得1充能。
<color=#0096FF>正面突击</color>：施加额外一层“洞察”减益。","列陣之眼（主動道具）獲得1充能。
<color=#0096FF>正面突擊</color>：施加額外一層「洞察」減益。"
Skill/S_SwapChar_1_Name,Text,,정찰 타격,Recon Strike,偵察打撃,试探打击,試探打擊
Skill/S_SwapChar_2_Description,Text,,"카운트다운 중:
- 사용자는 치유 게이지 보호와 방어력 +20%를 얻습니다.
- 대상은 치유 게이지를 감소시킬 수 없습니다 (&a%<sprite=0>).
- 대상이 아군을 타겟팅했을 때, 사용자는 해당 아군과 <color=#0096FF>위치 교환</color>합니다.","When in countdown:
- User gains healing gauge protection and armor +20%
- Target cannot reduce healing gauge (&a%<sprite=0>)
- When targeted enemy targets an ally, user <color=#0096FF>swaps</color> with the ally","カウントダウン中：
- 使用者は回復ゲージ保護と防御力+20%を獲得
- ターゲットは回復ゲージを減らせない（&a%<sprite=0>）
- ターゲットが味方をターゲットした場合、使用者はその味方と<color=#0096FF>位置交換</color>します","此技能倒计时中时：
- 使用者获得保护体力极限和20%防御力
- 目标无法降低体力极限（&a%<sprite=0>）
- 当目标瞄准友军时，使用者与该友军<color=#0096FF>换位</color>","此技能倒計時中時：
- 使用者獲得保護體力極限和20%防禦力
- 目標無法降低體力極限（&a%<sprite=0>）
- 當目標瞄準友軍時，使用者與該友軍<color=#0096FF>換位</color>"
Skill/S_SwapChar_2_Name,Text,,견제 공격,Diversionary Attack,牽制攻撃,牵制攻击,牽制攻擊
Skill/S_SwapChar_3_Description,Text,,<color=#0096FF>정면 돌격</color>: 스킬 1개를 뽑습니다.,<color=#0096FF>Frontal Assault:</color> Draw 1 skill.,<color=#0096FF>正面突撃</color>：スキルを1個引きます。,<color=#0096FF>正面突击</color>：抽1技能。,<color=#0096FF>正面突擊</color>：抽1技能。
Skill/S_SwapChar_3_Name,Text,,적진 돌파,Breakout Thrust,敵陣突破,突出重围,突出重圍
Skill/S_SwapChar_4_Description,Text,,"사용자의 방어력 x2에 따라 &b 피해(&a%)를 추가합니다.
<color=#0096FF>정면 돌격</color>: 마나를 2 회복합니다.","Damage +&b (&a%) based on user's armor x2.
<color=#0096FF>Frontal Assault:</color> Restore 2 mana.","使用者の防御力x2に基づいてダメージ+&b（&a%）。
<color=#0096FF>正面突撃</color>：マナを2回復する。","根据使用者的护甲x2增加&b伤害（&a%）。
<color=#0096FF>正面突击</color>：恢复2法力值。","根據使用者的護甲x2增加&b傷害（&a%）。
<color=#0096FF>正面突擊</color>：恢復2法力值。"
Skill/S_SwapChar_4_Name,Text,,장갑 돌격,Armored Charge,装甲突撃,护甲冲锋,護甲衝鋒
Skill/S_SwapChar_5_Description,Text,,"가장 왼쪽의 아군에게 '공격 증가!'를 적용합니다.
가장 오른쪽의 아군에게 '치유 증가!'를 적용합니다.","Apply ""Attack Increase!"" to the leftmost ally.
Apply ""Healing Increase!"" to the rightmost ally.","最左の味方に「攻撃増加！」を与えられる。
最右の味方に「回復増加！」を与えられる。","对最左方友军施加“攻击增加！”。
对最右方友军施加“治疗增加！”。","對最左方友軍施加「攻擊增加！」。
對最右邊友軍施加「治療增加！」。"
Skill/S_SwapChar_5_Name,Text,,지형 우위,Terrain Advantage,地形優位,地形优势,地形優勢
Skill/S_SwapChar_6_Description,Text,,"발동 시, 모든 적에게 '식별됨!'을 적용합니다.","When cast, apply ""Identified!"" to all enemies.",発動時、すべての敵に「洞察」を適用します。,出手时对所有敌人施加“洞察”减益。,出手時對所有敵人施加「洞察」減益。
Skill/S_SwapChar_6_Name,Text,,전장 분석,Analyze Battlefield,戦場分析,战场分析,戰場分析
Skill/S_SwapChar_7_1_Description,Text,,대상의 최대 HP의 25%에 해당하는 <color=purple>고통 피해</color>를 입혀 홀로그램 배리어(사용자의 최대 HP의 &a%)를 생성합니다.,Deal <color=purple>pain damage</color> equal to 25% of target max HP to create a hologram barrier (&a% max HP of user).,ターゲットの最大体力の25%に等しい<color=purple>痛みダメージ</color>を与えて、ホログラムバリア（使用者の最大体力の&a%）を作成します。,造成25%目标最大体力值的<color=purple>痛苦伤害</color>以生成全息护盾（使用者&a%的最大体力值）。,造成25%目標最大体力值的<color=purple>痛苦傷害</color>以生成全息護盾（使用者&a%的最大体力值）。
Skill/S_SwapChar_7_1_Name,Text,,금단탈출,VIP Cover,金蝉脱壳,金蝉脱壳,金蟬脫殼
Skill/S_SwapChar_7_2_Description,Text,,"아군 수가 &c 미만일 때만 사용 가능합니다.
최대 HP의 25%에 해당하는 <color=purple>고통 피해</color>를 입혀 홀로그램(아군)을 생성합니다. 홀로그램은 최대 HP의 &a%(&b)를 가지고 있으며, 매우 낮은 어그로를 가집니다. HP가 0 이하가 되면 파괴되며, 위치를 <color=#0096FF>위치 교환</color>하는 고정 스킬을 가집니다 (첫 사용은 무료, 이후 1 마나 소모).","Usable only if ally number is less than &c.
Deal <color=purple>pain damage</color> equal to 25% of max HP to create a hologram (ally) with &a% (&b) max HP and very low aggro. The hologram is destroyed when HP is below 0 and has a fixed skill to <color=#0096FF>swap</color> position (the first use is free, after that costs 1 mana).","味方の数が&c未満の場合のみ使用可能。
最大体力の25%に等しい<color=purple>痛みダメージ</color>を与えて、ホログラム（味方）を作成します。ホログラムは最大体力の&a%（&b）を持ち、非常に低いアグロを持ちます。HPが0以下になると破壊され、位置を<color=#0096FF>位置交換</color>する固定スキルを持ちます（最初の使用は無料、その後は1マナ消費）。","仅当友军数量小于&c时能使用。
造成25%最大体力值的<color=purple>痛苦伤害</color>以生成全息护卫（友军）。全息护卫拥有&a%（&b）的最大體力值和极低的被攻击概率，会在血量归零时被摧毁且拥有固定的<color=#0096FF>换位</color>技能（第一次免费，之后1费）。","僅當友軍數量小於&c時能使用。
造成25%最大体力值的<color=purple>痛苦傷害</color>以生成全息護衛（友軍）。全息護衛擁有&a%（&b）的最大生命值和極低的被攻擊機率，會在血量歸零時被摧毀且擁有固定的<color=#0096FF>換位</color>技能（第一次免費，之後1費）。"
Skill/S_SwapChar_7_2_Name,Text,,무중생유,Fake Reinforcement,無中生有,无中生有,無中生有
Skill/S_SwapChar_7_Description,Text,,"선택: 아군에게 홀로그램을 생성하거나, 새로운 홀로그램 캐릭터를 생성합니다.","Select: Create a hologram on an ally, or create a new hologram character.",選択：味方にホログラムを作成するか、新しいホログラムキャラクターを作成します。,选择：为友军创造一个全息护盾，或者创造一个新的全息影像（友军）。,選擇：為友軍創造一個全息護盾，或創造一個新的全息影像（友軍）。
Skill/S_SwapChar_7_Name,Text,,홀로그램 미끼,Distraction Hologram,ホログラム囮,全息诱饵,全息誘餌
Skill/S_SwapChar_8_Add_Description,Text,,,,,,
Skill/S_SwapChar_8_Add_Name,Text,,추가 공격,Additional Attack,追加攻撃,追击,追擊
Skill/S_SwapChar_8_Description,Text,,,,,,
Skill/S_SwapChar_8_Name,Text,,게릴라 전술,Guerrilla Tactics,ゲリラ戦術,游击战术,遊擊戰術
Skill/S_SwapChar_9_Counter_Description,Text,,,,,,
Skill/S_SwapChar_9_Counter_Name,Text,,반격!,Counter Attack!,反撃！,反击！,反擊！
Skill/S_SwapChar_9_Description,Text,,,,,,
Skill/S_SwapChar_9_Name,Text,,반격 전략,Counter-Offensive,反撃戦略,反击策略,反擊策略
Skill/S_SwapChar_Lucy_Description,Text,,스킬 2개를 뽑습니다.,Draw 2 skills.,スキルを2個引きます。,抽取2个技能。,抽取2個技能。
Skill/S_SwapChar_Lucy_Name,Text,,조심해!,Watch Out!,気をつけろ！,小心！,小心！
Skill/S_SwapChar_Rare_1_Counter_Description,Text,,,,,,
Skill/S_SwapChar_Rare_1_Counter_Name,Text,,반격!,Counter Attack!,反撃！,反击！,反擊！
Skill/S_SwapChar_Rare_1_Description,Text,,,,,,
Skill/S_SwapChar_Rare_1_Name,Text,,전선을 사수하라!,Hold the Line!,戦線を守れ！,坚守战线！,堅守戰線！
Skill/S_SwapChar_Rare_2_Add_Description,Text,,,,,,
Skill/S_SwapChar_Rare_2_Add_Name,Text,,폭풍 연격,Piercing Tempest,暴雨連撃,暴雨连击,暴雨連擊
Skill/S_SwapChar_Rare_2_Description,Text,,이번 턴과 이전 턴의 사용자의 <b>받은 공격 횟수+위치 변경 횟수</b>에 따라 이 스킬을 &a회 재발동합니다.,Recast this skill &a times based on <b>(number of attacks received + position changes)</b> of user during this turn and the last turn.,このターンと前のターンの使用者の<b>受けた攻撃数+位置変更の回数</b>に基づいて、このスキルを&a回再発動します。,根据使用者本回合和上回合<b>受到攻击+位置变化的次数</b>重复释放&a次此技能。,根據使用者本回合和上回合<b>受到攻擊+位置變化的次數</b>重複釋放&a次此技能。
Skill/S_SwapChar_Rare_2_Name,Text,,폭풍 연격,Piercing Tempest,暴雨連撃,暴雨连击,暴雨連擊
Skill/S_SwapChar_Rare_3_Description,Text,,대상은 모든 적에게 도발(<sprite=2>&a%)을 적용합니다.,The target applies taunted to all enemies (<sprite=2>&a%).,ターゲットはすべての敵に挑発する（<sprite=2>&a%）。,目标嘲讽所有敌人（<sprite=2>&a%）。,目標嘲諷所有敵人（<sprite=2>&a%）。
Skill/S_SwapChar_Rare_3_Name,Text,,홀로그래픽 포스 필드,Holographic Force Field,ホログラフィック力場,全息力盾,全息力盾
Skill/S_SwapChar_Swap_Description,Text,,"대상과 <color=#0096FF>위치 교환</color>합니다.
고정 스킬로 무한히 사용할 수 있습니다.","<color=#0096FF>Swap</color> with the target.
Can be used infinity times as a fixed skill.","ターゲットと<color=#0096FF>位置交換</color>します。
固定スキルとして無限回使用可能です。","与目标<color=#0096FF>换位</color>。
作为固定技能时可无限使用。","與目標<color=#0096FF>換位</color>。
作為固定技能時可無限使用。"
Skill/S_SwapChar_Swap_Name,Text,,교환!,Swap!,位置交換！,换位！,換位！
SkillExtended/SkillEn_SwapChar_1_Des,Text,,,,,,
SkillExtended/SkillEn_SwapChar_1_EnforceString,Text,,,,,,
SkillExtended/SkillEn_SwapChar_1_Name,Text,,"도발 무시
<color=#0096FF>정면 돌격</color>: 피해 +30%","Ignore Taunt
<color=#0096FF>Frontal Assault:</color> Damage +30%","挑発無視を与える
<color=#0096FF>正面突撃</color>：ダメージ+30%","无视嘲讽
<color=#0096FF>正面突击</color>：伤害+30%","無視嘲諷
<color=#0096FF>正面突擊</color>：傷害+30%"
SkillExtended/SkillEn_SwapChar_2_Des,Text,,단일 공격,Single-Target Attack,単体攻撃,单体攻击,單體攻擊
SkillExtended/SkillEn_SwapChar_2_EnforceString,Text,,,,,,
SkillExtended/SkillEn_SwapChar_2_Name,Text,,"손에서 사용할 때, 대상과 <color=#0096FF>위치 교환</color>하고 두 캐릭터에게 강인함(치유 게이지 보호, +5% 방어력)을 부여합니다.","When use in hand, <color=#0096FF>swap</color> with the target and give both characters Tenacity (protect healing gauge, +5% armor)",手札から使用する時、ターゲットと<color=#0096FF>位置交換</color>し、両方のキャラクターにタフネス（回復ゲージを保護し、+5%の防御力を付与）を与えます。,出手时，与目标<color=#0096FF>换位</color>并给予双方坚韧（保护体力极限，+5%防御力）,出手時，與目標<color=#0096FF>換位</color>並給予雙方堅韌（保護體力極限，+5%防禦力）
SkillExtended/SkillEn_SwapChar_3_Des,Text,,,,,,
SkillExtended/SkillEn_SwapChar_3_EnforceString,Text,,"<sprite name=""비용1""><sprite name=""이상"">","<sprite name=""비용1""><sprite name=""이상"">","<sprite name=""비용1""><sprite name=""이상"">","<sprite name=""비용1""><sprite name=""이상"">","<sprite name=""비용1""><sprite name=""이상"">"
SkillExtended/SkillEn_SwapChar_3_Name,Text,,"손에 있는 동안, 아군이 2번 <color=#0096FF>위치 교환</color>할 때마다 비용 -1","When in hand, every 2 times two allies <color=#0096FF>swap</color> with each other, cost -1",手札にある間、味方が2回<color=#0096FF>位置交換</color>するたびに、コスト-1,在手中时，友军每进行两次<color=#0096FF>换位</color>，费用-1,在手中時，友軍每進行兩次<color=#0096FF>換位</color>，費用-1
SkillKeyword/KeyWord_SwapChar_Swap_Desc,Text,,"두 아군의 위치를 교환합니다. 교환 시, 모든 적과 아군의 카운트다운 중인 스킬은 같은 위치를 타겟팅합니다.","Exchange positions of two allies. When swapping, all enemy skills and ally skills in countdown will target the same position.",2人の味方の位置を交換します。位置交換時、すべての敵と味方のカウント中のスキルは同じ位置をターゲットにします。,将两个友军的位置交换。换位时，所有敌人和友军在倒计时中的技能保持指向固定位置。,將兩個友軍的位置交換。換位時，所有敵人和友軍在倒數計時中的技能保持指向固定位置。
SkillKeyword/KeyWord_SwapChar_Swap_Name,Text,,위치 교환,Swap,位置交換,换位,換位
SkillKeyword/KeyWord_SwapChar_Synchronize_Desc,Text,,사용자와 대상이 왼쪽에서 오른쪽으로 같은 위치에 있을 때 (전투 불능 및 선택 불가 캐릭터 무시) 발동합니다.,Activated when user and target are at the same position counting from left to right (ignore fainted or unselectable characters).,使用者とターゲットが左から右に数えて同じ位置にいる場合（戦闘不能および選択不可のキャラクターを無視する）、発動します。,当使用者和目标在从左往右的同样位置时（忽略无法战斗和无法选中的角色），激活特殊效果。,當使用者和目標在從左到右的相同位置時（忽略無法戰鬥和無法選中的角色），啟動特殊效果。
SkillKeyword/KeyWord_SwapChar_Synchronize_Name,Text,,정면 돌격,Frontal Assault,正面突撃,正面突击,正面突擊
SkillKeyword/KeyWord_SwapChar_Unmoving_Desc,Text,,캐릭터의 위치가 변경되어도 위치 버프는 그 위치에 남아 있습니다.,A position buff will stick to its position when the character position changes.,キャラクターの位置が変わっても、位置バフはその位置に留まります。,位置增益在角色位置变化时不会移动位置。,位置增益在角色位置變化時不會移動位置。
SkillKeyword/KeyWord_SwapChar_Unmoving_Name,Text,,위치 버프,Position Buff,位置バフ,位置增益,位置增益
SpecialKey/SPK_TheLight_Power_SwapChar_Name,Text,,내 안에 힘이 솟아오른다!,I'm bursting with power!,私の体内に力が湧き上がる！,我的体内涌现出力量！,我的體內湧現力量！
SimpleCampDialogue/CampDial_SwapChar_SilverStein_Dialogues_0,Text,,[A]왜 그렇게 뒤틀린 땅을 두려워하나요? 당신은 유능해 보이는데.,[A]Why are you so scared of the twisted land? You seem capable.,[A]なぜそんなに歪みの地を恐れているの？あなたは有能そうだ。,[A]为什么这么害怕扭曲之地？你看起来很强。,[A]為什麼這麼害怕扭曲之地？你看起來很強。
SimpleCampDialogue/CampDial_SwapChar_SilverStein_Dialogues_1,Text,,[B]전투에서 죽는 건 싫어요.,[B]I wouldn't like being killed in a fight.,[B]戦闘で殺される覚悟はありません。,[B]我没有在战斗中被杀死的觉悟。,[B]我沒有在戰鬥中被殺死的覺悟。
SimpleCampDialogue/CampDial_SwapChar_SilverStein_Dialogues_2,Text,,"[B]유능하든 아니든, 10명의 괴물들에게 덤벼들면 누구라도 쓰러질 거예요.","[B]Capable or not, being jumped by 10 freaks would down anybody.",[B]有能かどうかに関わらず、10人の変人に襲われたら誰でも倒れる。,[B]不管强不强，战场上的生死总在一瞬之间。,[B]不管強不強，戰場上的生死總在一瞬之間。
SimpleCampDialogue/CampDial_SwapChar_SilverStein_Dialogues_3,Text,,[A]최악의 상황이 일어나지 않도록 할게요.,[A]I'll make sure that doesn't happen.,[A]最悪の事態が起こらないようにするよ。,[A]我会确保最坏的事情不会发生。,[A]我會確保最壞的事情不會發生。
SimpleCampDialogue/CampDial_SwapChar_Trisha_Dialogues_0,Text,,"[A]전에 당신을 본 적이 없는데, 새로 오셨나요?","[A]I had never seen you before, are you new here?",[A]以前あなたを見たことがないけど、新人ですか？,[A]我以前没有见过你，你是新人吗？,[A]我以前沒見過你，你是新人嗎？
SimpleCampDialogue/CampDial_SwapChar_Trisha_Dialogues_1,Text,,[B]감사합니다. 아니에요.,[B]Thanks. I'm not.,[B]ありがとう。違うよ。,[B]谢谢，我不是。,[B]謝謝，我不是。
SimpleCampDialogue/CampDial_SwapChar_Ilya_Dialogues_0,Text,,[B]제가 약해서 당신이 많이 다쳐서 미안해요.,[B]I'm sorry you get hurt so much because I'm weak.,[B]私が弱いせいで、あなたがたくさん傷ついてごめんなさい。,[B]对不起，因为我很弱的缘故你受了很多伤。,[B]對不起，因為我很弱的緣故你受了很多傷。
SimpleCampDialogue/CampDial_SwapChar_Ilya_Dialogues_1,Text,,"[A]약하다고? 당신은 바람처럼 달려가고, 칼과 검의 빛 속에서 흐르는 물처럼 부드럽게 움직이고 있어요.",[A]Weak? You've been zapping and slicing around so much.,[A]弱い？あなたは疾風のように駆け抜け、刀と剣の光の中で流れる水のように滑らかに動いています。,[A]弱？你这一路疾影纵横，刀光剑影之间行云流水。,[A]弱？你這一路疾影縱橫，刀光劍影之間行雲流水。
SimpleCampDialogue/CampDial_SwapChar_Ilya_Dialogues_2,Text,,"[A]솔직히, 당신을 따라가기 힘들어요.",[A]Honnestly I've been having trouble keeping up with you.,[A]正直、あなたについていくのに苦労しているよ。,[A]说实话我很难跟上你的速度。,[A]說實話我很難跟上你的速度。
SimpleCampDialogue/CampDial_SwapChar_Ilya_Dialogues_3,Text,,"[B]제가 이렇게 약하지 않았다면, 당신이 저를 보호할 필요도 없었을 텐데…","[B]If I weren't so weak, you wouldn't have to protect me…",[B]もし私がこんなに弱くなければ、あなたは私を守らなくてもいいのに…,[B]但如果我没这么弱的话你也不用保护我了...,[B]但如果我沒這麼弱的話你也不用保護我了...
SimpleCampDialogue/CampDial_SwapChar_Joey_Dialogues_0,Text,,"[A]포션을 더 만들어야 해요, 소비에 맞출 수가 없어요.","[A]Produce more potion, we can barely keep up.",[A]もっとポーションを作って、私たちは消費に追いつけません。,[A]快制作更多的药水，我们跟不上消耗了。,[A]快製作更多的藥水，我們跟不上消耗了。
SimpleCampDialogue/CampDial_SwapChar_Joey_Dialogues_1,Text,,"[B]만드는 데 시간이 걸려요, 낭비하지 마세요.","[B]It takes time to make them, quit wasting.",[B]作るのに時間がかかるんだ、無駄にするな。,[B]做药很费时间的，不要浪费它们。,[B]做藥很花時間的，不要浪費它們。
SimpleCampDialogue/CampDial_SwapChar_Joey_Dialogues_2,Text,,[A]그렇게 엘리트는 아니네요? 느려터졌어요.,[A]Not so elite huh? Slowie.,[A]そんなにエリートじゃないんだな？遅いやつ。,[A]看来你还不够精英啊？慢吞吞的家伙。,[A]看來你還不夠菁英啊？慢吞吞的傢伙。
SimpleCampDialogue/CampDial_SwapChar_Joey_Dialogues_3,Text,,[B]으음…,[B]Ugh-,[B]うーん…,[B]呃...,[B]呃...
SimpleCampDialogue/CampDial_SwapChar_Narhan_Dialogues_0,Text,,"[A]사람들은 당신이 신비롭다고 말하지만, 사실은 그냥 지루해요.","[A]People keep saying that you're mysterious, but really you're just boring.",[A]人々はあなたが神秘的だと言っているが、実際はただ退屈だ。,[A]人们都说你很神秘，但实际上你很无趣。,[A]人們都說你很神秘，但其實你很無聊。
SimpleCampDialogue/CampDial_SwapChar_Narhan_Dialogues_1,Text,,[B]당신 같은 근육 머리는 이해 못할 거예요.,[B]I wouldn't expect a musclebrain like you to understand.,[B]あなたのような筋肉脳には理解できないだろう。,[B]我不期待一个肌肉脑能理解我。,[B]我不期待一個肌肉腦能理解我。
SimpleCampDialogue/CampDial_SwapChar_Narhan_Dialogues_2,Text,,"[A]그래, 너 같은 똑똑이의 마음을 읽는 거지.","[A]Sure, you mind reading smartass.",[A]そうだな、あなたは賢い奴の心を読むんだな。,[A]噢，看来你只会读聪明蛋子的心。,[A]噢，看來你只會讀聰明蛋子的心。
SimpleCampDialogue/CampDial_SwapChar_Narhan_Dialogues_3,Text,,[B]잘 알고 있네요.,[B]Sounds exactly like me.,[B]よくわかっているようだ。,[B]你挺上道的嘛。,[B]你挺上道的嘛。
SimpleCampDialogue/CampDial_SwapChar_Priest_Dialogues_0,Text,,[A]유연하고 다양하는 것은 좋지만…,[A]Having versatility is good but..,[A]柔軟で多様であることは良いことだが…,[A]灵活多变是好事，但是...,[A]靈活多變是好事，但...
SimpleCampDialogue/CampDial_SwapChar_Priest_Dialogues_1,Text,,[A]방망이를 휘두르는 치유 사제…?,[A]An healing priest wielding a bat..?,[A]バットを振るう癒しの司祭…？,[A]一个拿着球棒的牧师？,[A]一個拿著球棒的牧師？
SimpleCampDialogue/CampDial_SwapChar_Priest_Dialogues_2,Text,,[A]그건 큰 놀라움이에요.,[A]That's a big surprise.,[A]それは大きな驚きだ。,[A]真是个大惊喜。,[A]真是個大驚喜。
SimpleCampDialogue/CampDial_SwapChar_Priest_Dialogues_3,Text,,"[B]당신에게는, 그럴지도 모르죠.","[B]For you, maybe.",[B]あなたにとっては、そうかもね。,[B]对你来说，也许是。,[B]對你來說，也許是。
SimpleCampDialogue/CampDial_SwapChar_Leryn_Dialogues_0,Text,,[A]저에게 더 많은 배리어를 씌워 주세요.,[A]You should put more barrier on me.,[A]もっとバリアをかけてくれ。,[A]你应该给我提供更多的保护罩。,[A]你應該提供我更多的保護罩。
SimpleCampDialogue/CampDial_SwapChar_Leryn_Dialogues_1,Text,,"[B]차리테, 모든 걸 혼자 하려고 하는 건 건강하지 않아요.","[B]Charite, it's not healthy for you to do everything by yourself.",[B]シャリテ、あなたがすべてを自分でやるのはよくない。,[B]夏丽蒂，你总想自己一个人做好所有事，这是不明智的。,[B]夏麗蒂，你總想自己一個人做好所有事，這是不明智的。
SimpleCampDialogue/CampDial_SwapChar_Leryn_Dialogues_2,Text,,[A]모든 걸 혼자 하는 건 아니에요.,[A]I'm not doing everything by myself.,[A]すべてを自分でやっているわけじゃない。,[A]我没有一个人做所有事。,[A]我沒有一個人做所有事。
SimpleCampDialogue/CampDial_SwapChar_Leryn_Dialogues_3,Text,,"[A]당신이 배리어를 씌우면, 나머지는 제가 할게요.",[A]You put barriers onto me and I do the rest.,[A]あなたがバリアをかけて、残りは私がやる。,[A]你给我套护盾，我做剩下的事。,[A]你給我套護盾，我做剩下的事。
SimpleCampDialogue/CampDial_SwapChar_Sizz_Dialogues_0,Text,,"[B]차리테 씨, 재킷이 찢어졌어요.",[B]Miss Charite I think you ripped your jacket.,[B]シャリテさん、ジャケットが破れているようです。,[B]夏丽蒂女士，你的外套裂开了。,[B]夏麗蒂女士，妳的外套裂開了。
SimpleCampDialogue/CampDial_SwapChar_Sizz_Dialogues_1,Text,,"[A]자주 있는 일이에요, 제가 처리할게요.","[A]It happens, I can deal with it.",[A]よくあることだ、自分で何とかするよ。,[A]常有的事，我自己能处理。,[A]常有的事，我自己能處理。
SimpleCampDialogue/CampDial_SwapChar_Sizz_Dialogues_2,Text,,"[B]혼자 감당하지 마세요, 제가 꿰매 드릴게요.","[B]Don't bear it like that, let me sew it up.",[B]一人で抱え込まないで、私が縫い上げるよ。,[B]不用独自承受，让我来把它缝好。,[B]不用獨自承受，讓我來把它縫好。
SimpleCampDialogue/CampDial_SwapChar_Sizz_Dialogues_3,Text,,[A]고마워요…,[A]Thanks…,[A]ありがとう…,[A]谢谢...,[A]謝謝...
SimpleCampDialogue/CampDial_SwapChar_Johan_Dialogues_0,Text,,"[B]많은 군인들이 종교적이라고 들었는데, 당신도 그런가요?","[B]I've heard a lot of soldiers are religious, are you?",[B]多くの兵士が宗教的だと聞いたけど、あなたは？,[B]我听说很多士兵都有宗教信仰，你有吗？,[B]我聽說很多士兵都有宗教信仰，你有嗎？
SimpleCampDialogue/CampDial_SwapChar_Johan_Dialogues_1,Text,,"[A]아니요, 왜 그런 질문을 하시나요?","[A]Not really, why do you ask?",[A]そうでもない、なぜそんなことを聞くの？,[A]没有。为什么这么问？,[A]沒有。為什麼這麼問？
SimpleCampDialogue/CampDial_SwapChar_Johan_Dialogues_2,Text,,"[B]별다른 이유는 없어요, 그냥 당신의 성격을 추측하고 있어요.","[B]Nothing, just guessing your personality.",[B]特に何もない、ただあなたの性格を推測しているだけ。,[B]没其他意思，就想猜猜你的个性。,[B]沒其他意思，就想猜猜你的個性。
SimpleCampDialogue/CampDial_SwapChar_Johan_Dialogues_3,Text,,[A]아하…,[A]I see…,[A]なるほど…,[A]哦...,[A]哦...
SimpleCampDialogue/CampDial_SwapChar_Huz_Dialogues_0,Text,,[A]저 토끼.,[A]That rabbit.,[A]そのウサギ。,[A]那个兔子。,[A]那個兔子。
SimpleCampDialogue/CampDial_SwapChar_Huz_Dialogues_1,Text,,[B]왜요?,[B]What about it?,[B]どうしたの？,[B]它怎么了？,[B]牠怎麼了？
SimpleCampDialogue/CampDial_SwapChar_Huz_Dialogues_2,Text,,[A]…귀여워요.,[A]…It's cute.,[A]…かわいいね。,[A]...很可爱。,[A]...很可愛。
SimpleCampDialogue/CampDial_SwapChar_Azar_Dialogues_0,Text,,[A]당신의 검에는 무게가 없어요.,[A]Your swords have no weight to them.,[A]あなたの剣には重みがない。,[A]你的剑没有力量。,[A]你的劍沒有力量。
SimpleCampDialogue/CampDial_SwapChar_Azar_Dialogues_1,Text,,[B]그래도 당신의 창보다는 강해요.,[B]Yet they'd still beat your spear.,[B]それでもあなたの槍より強いよ。,[B]即便如此它们也比你的枪强。,[B]即便如此它們也比你的槍強。
SimpleCampDialogue/CampDial_SwapChar_Azar_Dialogues_2,Text,,[A]오? 한번 해볼래요?,[A]Oh? Wanna try it out?,[A]ああ？試してみるか？,[A]哦？想试试？,[A]哦？想試試？
SimpleCampDialogue/CampDial_SwapChar_Pheonix_Dialogues_0,Text,,[A]그래서 페니ックス,"[A]So Phoenix, you are immortal right?",[A]だからフェニックス、あなたは不死身なんだよね？,[A]所以凤凰，你是无敌的是吧？,[A]所以鳳凰，你是無敵的是吧？
